para,income,kidhome,teenhome,recency,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,num_deals_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,accepted_cmp3,accepted_cmp4,accepted_cmp5,accepted_cmp1,accepted_cmp2,complain,z_cost_contact,z_revenue,response,age,customer_days,marital_divorced,marital_married,marital_single,marital_together,marital_widow,education_2n_cycle,education_basic,education_graduation,education_master,education_ph_d,mnt_total,mnt_regular_prods,accepted_cmp_overall
income,1,-0.5316989197748735,0.04248289448255335,0.006716214035948683,0.7304951613642853,0.5379202581686492,0.7024996196456791,0.5517580018179086,0.5556010365636542,0.41765287493031356,-0.13242660572528547,0.503184201736294,0.7100565341470724,0.687205716297932,-0.6483062734574424,-0.011180864623025076,0.2332669151219078,0.4163859276005822,0.34524206169781596,0.11020953315720873,-0.02748768231257113,NA,NA,0.1749017657049622,0.21262531539014945,-0.024892175100490712,0.013892287017807772,-0.010426969915644756,-0.015539170052546592,-0.001959733388550435,0.04433645271840249,-0.060620748612813434,-0.2396044262240314,0.017643915399652498,0.021632987311479022,0.0911759073763818,0.8230660021398378,0.8168792294516771,0.3882473064762171
kidhome,-0.5316989197748735,1,-0.04020674174660507,0.011829056357293982,-0.4992876090170557,-0.37438831245187015,-0.4456653698614978,-0.38989486012653446,-0.37910121955339593,-0.35654965074121536,0.22643380140046385,-0.37559021400179815,-0.5198132903319702,-0.5065431681338826,0.4484971765578226,0.01589707088653903,-0.1625967026630407,-0.20512367786825028,-0.17474083839253096,-0.082124037025221,0.03702548085193993,NA,NA,-0.07840928899556204,-0.2380828110888796,-0.05574336233130944,-0.01851351908770888,0.019730566135630512,0.014525125270150971,0.00742249913978812,-0.07224353729318239,0.019050319844562652,0.05530775900220158,-0.001930414611151312,0.011482237744734924,-0.042030614375137956,-0.5511520414665868,-0.5398280429940373,-0.21207958630020698
teenhome,0.04248289448255335,-0.04020674174660507,1,0.013881442084347365,0.0027834778836128508,-0.17692528892309128,-0.26717681942913546,-0.2063712925421121,-0.16424604037470036,-0.019619038977968753,0.39434065721082895,0.16122895892172437,-0.1140185038588708,0.047321148135537776,0.1293649396584577,-0.04322297867130243,0.037860408088661056,-0.1907604471531949,-0.14574769513296398,-0.015804880461054435,0.007633360124279836,NA,NA,-0.15519603991345945,0.36291864136561625,0.019394380338241802,0.05585195575379921,0.007499335803851863,-0.10045427679741674,0.02718097724254568,0.047962337078006054,-0.056259158790844636,-0.12051909375156081,-0.024697766370866344,0.02380590091428917,0.092901462333295,-0.1429951651493462,-0.14686572735243322,-0.13025474491222447
recency,0.006716214035948683,0.011829056357293982,0.013881442084347365,1,0.01647045632122821,-0.004908748199369582,0.026138487890859097,0.0011773192983190917,0.025535285097482947,0.01855752945763201,4.791931926912149e-4,-0.005104469232032031,0.029749555957529178,4.6212003435136176e-4,-0.01790575857681487,-0.03232740246517678,0.01765837606390928,3.338488367917883e-4,-0.021096837554241386,-0.0013902334321932715,0.005758228390595549,NA,NA,-0.20041313589102486,0.014227716008367168,0.02833844869416125,0.0014831209236874305,-0.021105586971573095,-9.263337564185403e-4,0.02390819373039734,-0.0013484302537416244,-0.0067891971181341755,-0.003092828267173505,0.03141853372393471,-0.025563045929562333,-0.009234260230339948,0.02113211933354742,0.020241449785525837,-0.01334402316856555
mnt_wines,0.7304951613642853,-0.4992876090170557,0.0027834778836128508,0.01647045632122821,1,0.3849465285765998,0.5931189305530978,0.39596669042000776,0.38861274540950186,0.39019355696881025,0.011858138350323849,0.5523420869285401,0.6732337937005708,0.6393728229416177,-0.32939473769687233,0.06069984257947376,0.37306255024529017,0.4727289575438079,0.3513455961800855,0.20623078746459805,-0.03670904197590637,NA,NA,0.24555912012563694,0.16443771684546757,0.16810239065202828,0.02167924179648088,-0.01259717018262785,-0.022597803247839606,0.005914940386924842,0.034138631624363334,-0.0962590809369883,-0.14036859264832213,-0.06091962239601139,0.03640327298663138,0.1608038956749692,0.9023096018937776,0.9018484249977673,0.5099129665333134
mnt_fruits,0.5379202581686492,-0.37438831245187015,-0.17692528892309128,-0.004908748199369582,0.3849465285765998,1,0.5681000980626549,0.5925564347818177,0.5709861451637865,0.3925960964741537,-0.13635011959944252,0.3008132004174164,0.5136862515030928,0.4590559549775159,-0.42446342242958324,0.014131448083518296,0.006078480093493635,0.208615441715248,0.19206143045272672,-0.010146893934956226,-0.0031345605077846973,NA,NA,0.12233142262889295,0.013148504782858342,0.06797806460129802,0.010566657822352703,-0.013723228272219314,0.011981916005107729,-0.014209712701219138,0.025960526077276072,0.025451644469369525,-0.06091546167169706,0.11491936359849712,-0.055581095853044174,-0.08430053270680386,0.6066577362133904,0.5941803430786685,0.15513282649310686
mnt_meat_products,0.7024996196456791,-0.4456653698614978,-0.26717681942913546,0.026138487890859097,0.5931189305530978,0.5681000980626549,1,0.5956730220267626,0.5565110236091504,0.3755811089384244,-0.1655216958190535,0.3294531598181022,0.7143823190415896,0.517244925911834,-0.5433874196268955,0.02122428021155014,0.0967984038679975,0.389276144461078,0.3253062347374716,0.04584162820335106,-0.020920756700577244,NA,NA,0.2488212658097461,0.04154040781125725,0.08920301271761298,-0.02168844991868322,-0.027768868968930226,0.04557483623512623,-0.004063846070049589,0.017369524932034884,-0.0417375885529963,-0.11196835597469584,0.06491663401068612,-0.00402027116546626,-0.004194438949615633,0.8613915272697634,0.8606633565975323,0.31955335524501194
mnt_fish_products,0.5517580018179086,-0.38989486012653446,-0.2063712925421121,0.0011773192983190917,0.39596669042000776,0.5925564347818177,0.5956730220267626,1,0.5829742402339888,0.42542039875990023,-0.14502997606349358,0.2977758808260464,0.5631735086466324,0.45689616321165405,-0.45335311256957483,-8.317886611767842e-4,0.01551284972961108,0.1943871733310991,0.2613890432527666,0.002093104237450831,-0.019298707901331882,NA,NA,0.10740462630001613,0.04085494041947286,0.08161068526076679,-0.015212517424340564,-0.03172834691879403,0.013808745033327347,0.0155018206444281,0.041886028780160574,0.061303831894348446,-0.05983961692662493,0.10622704377101941,-0.05015285933658045,-0.10395244669191231,0.6350380686302975,0.6206264001614402,0.1746745809196416
mnt_sweet_products,0.5556010365636542,-0.37910121955339593,-0.16424604037470036,0.025535285097482947,0.38861274540950186,0.5709861451637865,0.5565110236091504,0.5829742402339888,1,0.3557471823635017,-0.12227910805098656,0.3320569860442751,0.5243692499632702,0.45413335065381183,-0.429375416892241,0.0010993038506541223,0.028664534940752873,0.25805292170203703,0.244771153671566,0.00991522221953249,-0.020772801865951564,NA,NA,0.11532566180689714,0.021075192192972703,0.08084339447677649,-8.125344409838215e-4,-0.00560583126060587,-0.0027112644505369477,-0.01122014658900933,0.049347049335079024,0.060550003793440124,-0.057863068953953316,0.1040753585660144,-0.06772332828653484,-0.08570161844449903,0.6045142897868154,0.5953935535799236,0.20017352929563836
mnt_gold_products,0.41765287493031356,-0.35654965074121536,-0.019619038977968753,0.01855752945763201,0.39019355696881025,0.3925960964741537,0.3755811089384244,0.42542039875990023,0.3557471823635017,1,0.05692608652203033,0.4059609804367368,0.4710315149765026,0.3885751892246721,-0.2530218745578568,0.12498400731382778,0.02361302605114528,0.17611781142835167,0.1703797852506821,0.05073101885923082,-0.030440206579791386,NA,NA,0.1402096860481155,0.0592946927233362,0.16140681605188983,0.016633261773147525,-0.016411446342890212,-0.0010063296794660167,-0.010374800584273583,0.04309587121919412,0.019189066018894953,-0.06501355184498715,0.1317593635416199,-0.032492385574403954,-0.11970789480845209,0.46369396025069765,0.3887755267665018,0.1946465079359366
num_deals_purchases,-0.13242660572528547,0.22643380140046385,0.39434065721082895,4.791931926912149e-4,0.011858138350323849,-0.13635011959944252,-0.1655216958190535,-0.14502997606349358,-0.12227910805098656,0.05692608652203033,1,0.25250180958070534,-0.05862485720350459,0.07270993466327974,0.3635450132650688,-0.02288248180347844,0.01722121195233592,-0.18697465131585073,-0.1295378645318289,-0.038513216671392674,0.004141764832708993,NA,NA,0.00469073754386098,0.0720051178151252,0.22109266161381338,0.024215310451552296,0.015855279592299345,-0.045480205521841656,0.0066915947516933555,0.003696819732050234,-0.00760216862552807,-0.04386706056828895,-0.0020890502662628176,0.026634675578856796,2.672287702212688e-4,-0.08759855948009564,-0.0964099469171246,-0.1269623221205856
num_web_purchases,0.503184201736294,-0.37559021400179815,0.16122895892172437,-0.005104469232032031,0.5523420869285401,0.3008132004174164,0.3294531598181022,0.2977758808260464,0.3320569860442751,0.4059609804367368,0.25250180958070534,1,0.4208896004331608,0.5121086363711047,-0.06144992032312143,0.04154000831437927,0.1619872515867196,0.1406317649810196,0.15844628912295247,0.0343010965169502,-0.014006954315459633,NA,NA,0.14969941477700324,0.16183864199968379,0.19290235971100958,0.0297327080199972,-3.336935335014181e-4,-0.0430733433045052,0.005234377186853262,0.03574273773515017,-0.03589915192003393,-0.12804933030560378,0.008598355117265382,-0.00921613584690121,0.07091794383513342,0.521085991407737,0.5039472057051053,0.19524849794331087
num_catalog_purchases,0.7100565341470724,-0.5198132903319702,-0.1140185038588708,0.029749555957529178,0.6732337937005708,0.5136862515030928,0.7143823190415896,0.5631735086466324,0.5243692499632702,0.4710315149765026,-0.05862485720350459,0.4208896004331608,1,0.5612613362819882,-0.5306229152074324,0.11200712540054399,0.1495937979407063,0.3396033072919826,0.32643746339802737,0.10582993146839241,-0.018647308071112388,NA,NA,0.2345239606960385,0.14072406517383101,0.0968627085860883,0.005604584519455963,-0.018343534060525125,-0.0011150971476413679,-9.487030157695015e-4,0.044383324519661316,-0.030490293003520314,-0.12253445302287734,0.026817729260243117,-0.014803832160830593,0.047989029627349085,0.791186893387021,0.7787424253149409,0.36645949344697454
num_store_purchases,0.687205716297932,-0.5065431681338826,0.047321148135537776,4.6212003435136176e-4,0.6393728229416177,0.4590559549775159,0.517244925911834,0.45689616321165405,0.45413335065381183,0.3885751892246721,0.07270993466327974,0.5121086363711047,0.5612613362819882,1,-0.4493557323503622,-0.07125883633223752,0.1770186477882168,0.2137424155693,0.17788728276695073,0.08490467452163421,-0.012503751227229139,NA,NA,0.033508605170110596,0.13861357582460215,0.11205717091726747,0.003925981347202811,0.011105076916030526,-0.0233980257302386,-0.006013908959242259,0.0309943386522573,-0.022059117900766798,-0.14527768868316004,0.009614145860774049,0.010634783936353583,0.04862624027033544,0.6778928365580936,0.6686321892974684,0.20125420615613485
num_web_vists_month,-0.6483062734574424,0.4484971765578226,0.1293649396584577,-0.01790575857681487,-0.32939473769687233,-0.42446342242958324,-0.5433874196268955,-0.45335311256957483,-0.429375416892241,-0.2530218745578568,0.3635450132650688,-0.06144992032312143,-0.5306229152074324,-0.4493557323503622,1,0.05967535164384142,-0.030988800088267713,-0.27975880159159827,-0.19819684476630584,-0.00828852344786964,0.020341552773677805,NA,NA,-0.005358181179287051,-0.12271267373807618,0.27765634627423763,0.024902343719056558,0.012436976725242825,-0.011288822272403463,-0.0074756401645809725,-0.03153554479210428,0.017277897192082732,0.10068841070779984,-0.018433997216041963,-0.02209993357609082,-0.007488925891966287,-0.5016390492552706,-0.49801105294075587,-0.1689143125489763
accepted_cmp1,-0.011180864623025076,0.01589707088653903,-0.04322297867130243,-0.03232740246517678,0.06069984257947376,0.014131448083518296,0.02122428021155014,-8.317886611767842e-4,0.0010993038506541223,0.12498400731382778,-0.02288248180347844,0.04154000831437927,0.11200712540054399,-0.07125883633223752,0.05967535164384142,1,-0.08008779837176273,0.08060499102573265,0.09535022600558564,0.07155412165159572,0.00953532391879164,NA,NA,0.25357581755046726,-0.06140484210489996,-0.007951973468613748,0.016999350185324585,-4.6313074835867664e-4,0.015739294204497715,-0.019771199730313622,-0.015374767172508555,0.002202442422361473,0.022520024363443768,-0.014824670977721863,-0.01357670109060352,0.020275641197185394,0.044570796815208286,0.03467340150454987,0.43113697793335926
accepted_cmp2,0.2332669151219078,-0.1625967026630407,0.037860408088661056,0.01765837606390928,0.37306255024529017,0.006078480093493635,0.0967984038679975,0.01551284972961108,0.028664534940752873,0.02361302605114528,0.01722121195233592,0.1619872515867196,0.1495937979407063,0.1770186477882168,-0.030988800088267713,-0.08008779837176273,1,0.31242390238310874,0.24250250166339707,0.2949532491446231,-0.027120000852361797,NA,NA,0.17972732563750574,0.06990310704639455,0.015722712028673227,0.005052139476428333,-0.005384258475865752,-0.01459847932845547,-9.715325430974466e-4,0.04119071886843754,-0.034621866124041535,-0.04491352032019875,-0.013070959643116048,0.01828296918095134,0.04031733226624405,0.25915825728329545,0.2672887842651704,0.6121006925218551
accepted_cmp3,0.4163859276005822,-0.20512367786825028,-0.1907604471531949,3.338488367917883e-4,0.4727289575438079,0.208615441715248,0.389276144461078,0.1943871733310991,0.25805292170203703,0.17611781142835167,-0.18697465131585073,0.1406317649810196,0.3396033072919826,0.2137424155693,-0.27975880159159827,0.08060499102573265,0.31242390238310874,1,0.40928252413710486,0.2228466174255971,-0.008463927604723144,NA,NA,0.32464818443327886,-0.019275230001078784,-0.0045504853023886505,-0.021635408200979617,0.013041571732760309,-0.011975435106729212,0.006086830737682429,0.01386328748876614,-0.02717724832739772,-0.04446816075608934,0.01650301895034854,0.001982525176211648,0.013746577316497676,0.4755592485955913,0.4780748792098378,0.7195601411786486
accepted_cmp4,0.34524206169781596,-0.17474083839253096,-0.14574769513296398,-0.021096837554241386,0.3513455961800855,0.19206143045272672,0.3253062347374716,0.2613890432527666,0.244771153671566,0.1703797852506821,-0.1295378645318289,0.15844628912295247,0.32643746339802737,0.17788728276695073,-0.19819684476630584,0.09535022600558564,0.24250250166339707,0.40928252413710486,1,0.17652034509222644,-0.025100584538657367,NA,NA,0.2969775341385004,0.011747496958038296,-0.0401965246939173,-0.016996145304477864,0.02656153393826417,0.0012637662571117556,-0.01934447947615871,0.0010702063117656296,0.008071678741904866,-0.04156915849166268,0.03075941275405552,-0.027079303223772937,-0.002936773828332773,0.38452615810313717,0.3839470247033197,0.6776095094304051
accepted_cmp5,0.11020953315720873,-0.082124037025221,-0.015804880461054435,-0.0013902334321932715,0.20623078746459805,-0.010146893934956226,0.04584162820335106,0.002093104237450831,0.00991522221953249,0.05073101885923082,-0.038513216671392674,0.0343010965169502,0.10582993146839241,0.08490467452163421,-0.00828852344786964,0.07155412165159572,0.2949532491446231,0.2228466174255971,0.17652034509222644,1,-0.011236221034765789,NA,NA,0.16912835408684232,0.007736930432584548,0.0060205150942559274,0.02395996762483838,-0.037120529752884095,-0.01416491775682839,0.038243896767755726,-7.299218738692232e-4,-0.009501559481015052,-0.018608341663206428,0.006711392601473898,-0.031132438903904956,0.03352970927322146,0.13839032976334306,0.13917098724023239,0.46048888645779734
complain,-0.02748768231257113,0.03702548085193993,0.007633360124279836,0.005758228390595549,-0.03670904197590637,-0.0031345605077846973,-0.020920756700577244,-0.019298707901331882,-0.020772801865951564,-0.030440206579791386,0.004141764832708993,-0.014006954315459633,-0.018647308071112388,-0.012503751227229139,0.020341552773677805,0.00953532391879164,-0.027120000852361797,-0.008463927604723144,-0.025100584538657367,-0.011236221034765789,1,NA,NA,-2.72644509514566e-4,0.004531459438035561,0.03589507735907148,-0.01699876348367004,0.0024939669772575585,0.019442611090129937,-0.001661902652507325,-0.01807624598244268,0.020147331187914883,-0.015158839401321577,0.037359713028153836,-0.01677117892085118,-0.03857204271037602,-0.0329592327895932,-0.03143028662385078,-0.02099979794325487
z_cost_contact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z_revenue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
response,0.1749017657049622,-0.07840928899556204,-0.15519603991345945,-0.20041313589102486,0.24555912012563694,0.12233142262889295,0.2488212658097461,0.10740462630001613,0.11532566180689714,0.1402096860481155,0.00469073754386098,0.14969941477700324,0.2345239606960385,0.033508605170110596,-0.005358181179287051,0.25357581755046726,0.17972732563750574,0.32464818443327886,0.2969775341385004,0.16912835408684232,-2.72644509514566e-4,NA,NA,1,-0.02130548942268039,0.1965199350244628,0.054967168190675084,-0.08052638123886155,0.1137032362174863,-0.07466397102106377,0.04528450434565199,-0.03500793887961891,-0.05043728803337638,-0.040748816903162274,0.003509057019203629,0.08962697143202689,0.2648950157890974,0.26236277174175276,0.42696070894007293
age,0.21262531539014945,-0.2380828110888796,0.36291864136561625,0.014227716008367168,0.16443771684546757,0.013148504782858342,0.04154040781125725,0.04085494041947286,0.021075192192972703,0.0592946927233362,0.0720051178151252,0.16183864199968379,0.14072406517383101,0.13861357582460215,-0.12271267373807618,-0.06140484210489996,0.06990310704639455,-0.019275230001078784,0.011747496958038296,0.007736930432584548,0.004531459438035561,NA,NA,-0.02130548942268039,1,-0.013462073056677572,0.06934737468569616,-0.04548043659185352,-0.12843576144494492,0.054820360541463345,0.16372068789446687,-0.10436428036608536,-0.11587227688544931,-0.06157933161613672,0.07475407077122423,0.12342897224568423,0.11836950963898253,0.11755170254077742,0.0015291045090964428
customer_days,-0.024892175100490712,-0.05574336233130944,0.019394380338241802,0.02833844869416125,0.16810239065202828,0.06797806460129802,0.08920301271761298,0.08161068526076679,0.08084339447677649,0.16140681605188983,0.22109266161381338,0.19290235971100958,0.0968627085860883,0.11205717091726747,0.27765634627423763,-0.007951973468613748,0.015722712028673227,-0.0045504853023886505,-0.0401965246939173,0.0060205150942559274,0.03589507735907148,NA,NA,0.1965199350244628,-0.013462073056677572,1,0.009720463501604505,-0.015825321149224914,0.0020794777678745757,0.0034256533026784442,0.013066187909631531,0.011465725964621691,0.05827529131835031,0.02969313557976051,-0.03325719851694888,-0.03593418366721397,0.15047556163549747,0.1413997329333751,-0.012213082584534136
marital_divorced,0.013892287017807772,-0.01851351908770888,0.05585195575379921,0.0014831209236874305,0.02167924179648088,0.010566657822352703,-0.02168844991868322,-0.015212517424340564,-8.125344409838215e-4,0.016633261773147525,0.024215310451552296,0.0297327080199972,0.005604584519455963,0.003925981347202811,0.024902343719056558,0.016999350185324585,0.005052139476428333,-0.021635408200979617,-0.016996145304477864,0.02395996762483838,-0.01699876348367004,NA,NA,0.054967168190675084,0.06934737468569616,0.009720463501604505,1,-0.2713198878397078,-0.17929479767292145,-0.20101580070682135,-0.06447618510685549,0.0069904108259653845,-0.04447068487289269,0.005652530586688411,-0.0038696601516740882,0.008471909713106272,0.0037263639961629576,0.0023212332017300886,-0.0018397784667553087
